<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20210625,14.2000,15.8000,14.0000,15.5000,6286351,14.2000,15.8000,14.0000,15.5000,0,5700,52000
SBS,20210624,14.6000,14.8000,14.0000,14.1000,2115955,14.6000,14.8000,14.0000,14.1000,0,600,0
SBS,20210623,13.4000,15.0000,13.3000,14.6000,8112698,13.4000,15.0000,13.3000,14.6000,0,40700,2200
SBS,20210622,13.2000,13.5000,13.0000,13.2000,2644973,13.2000,13.5000,13.0000,13.2000,0,0,500
SBS,20210621,13.1000,13.6000,12.5000,13.1000,2309700,13.1000,13.6000,12.5000,13.1000,0,10000,0
SBS,20210618,13.0000,13.6000,12.9000,13.1000,2381564,13.0000,13.6000,12.9000,13.1000,0,700,51300
SBS,20210617,12.6000,13.0000,12.1000,13.0000,2109400,12.6000,13.0000,12.1000,13.0000,0,10000,3000
SBS,20210616,13.3000,13.3000,12.5000,12.8000,2806081,13.3000,13.3000,12.5000,12.8000,0,10000,3000
SBS,20210615,13.8000,13.8000,13.0000,13.3000,2763389,13.8000,13.8000,13.0000,13.3000,0,5500,0
SBS,20210614,13.1000,14.0000,12.7000,13.6000,5270577,13.1000,14.0000,12.7000,13.6000,0,9000,100
SBS,20210611,12.3000,13.9000,11.9000,13.1000,5194172,12.3000,13.9000,11.9000,13.1000,0,2500,2000
SBS,20210610,12.8000,12.9000,11.9000,12.3000,2296016,12.8000,12.9000,11.9000,12.3000,0,10500,0
SBS,20210609,11.0000,13.3000,10.4000,12.8000,4555901,11.0000,13.3000,10.4000,12.8000,0,8300,60100
SBS,20210608,12.4000,13.0000,10.9000,11.3000,4654922,12.4000,13.0000,10.9000,11.3000,0,1200,1200
SBS,20210607,14.0000,14.6000,12.4000,12.4000,6979503,14.0000,14.6000,12.4000,12.4000,0,2800,11500
SBS,20210604,14.0000,15.3000,13.4000,14.4000,6780371,14.0000,15.3000,13.4000,14.4000,0,2200,16200
SBS,20210603,12.6000,13.6000,12.6000,13.6000,4783120,12.6000,13.6000,12.6000,13.6000,0,75800,0
SBS,20210602,11.4000,12.6000,10.2000,12.6000,7848742,11.4000,12.6000,10.2000,12.6000,0,36800,0
SBS,20210601,11.0000,11.0000,10.5000,11.0000,6288204,11.0000,11.0000,10.5000,11.0000,0,11000,200
SBS,20210531,8.8000,9.7000,8.8000,9.7000,4882831,8.8000,9.7000,8.8000,9.7000,0,0,200
SBS,20210528,8.1000,9.0000,7.8000,8.8000,5163100,8.1000,9.0000,7.8000,8.8000,0,1500,14400
SBS,20210527,8.4000,8.5000,7.7000,8.1000,2446303,8.4000,8.5000,7.7000,8.1000,0,0,0
SBS,20210526,8.4000,8.6000,8.3000,8.4000,1626492,8.4000,8.6000,8.3000,8.4000,0,1000,15000
SBS,20210525,8.6000,8.6000,8.3000,8.4000,1964528,8.6000,8.6000,8.3000,8.4000,0,1400,5000
SBS,20210524,8.3000,8.9000,8.2000,8.6000,2671200,8.3000,8.9000,8.2000,8.6000,0,0,0
SBS,20210521,7.9000,8.6000,7.9000,8.3000,3816100,7.9000,8.6000,7.9000,8.3000,0,0,0
SBS,20210520,7.6000,8.0000,7.4000,7.9000,2311200,7.6000,8.0000,7.4000,7.9000,0,0,0
SBS,20210519,7.5000,7.6000,7.4000,7.6000,996900,7.5000,7.6000,7.4000,7.6000,0,0,0
SBS,20210518,7.7000,7.7000,7.5000,7.6000,891200,7.7000,7.7000,7.5000,7.6000,0,0,0
SBS,20210517,8.0000,8.1000,7.7000,7.7000,1187838,8.0000,8.1000,7.7000,7.7000,0,0,0
SBS,20210514,8.0000,8.1000,7.8000,8.0000,1652600,8.0000,8.1000,7.8000,8.0000,0,200,0
SBS,20210513,7.8000,8.1000,7.7000,8.0000,2150648,7.8000,8.1000,7.7000,8.0000,0,6100,0
SBS,20210512,7.8000,7.8000,7.5000,7.8000,936304,7.8000,7.8000,7.5000,7.8000,0,0,0
SBS,20210511,7.7000,7.9000,7.5000,7.8000,1128288,7.7000,7.9000,7.5000,7.8000,0,0,176900
SBS,20210510,7.4000,7.9000,7.3000,7.7000,1304000,7.4000,7.9000,7.3000,7.7000,0,0,0
SBS,20210507,7.8000,7.8000,7.2000,7.4000,1634475,7.8000,7.8000,7.2000,7.4000,0,0,32300
SBS,20210506,8.0000,8.0000,7.6000,7.7000,852563,8.0000,8.0000,7.6000,7.7000,0,300,500
SBS,20210505,7.3000,8.0000,7.3000,7.9000,1153191,7.3000,8.0000,7.3000,7.9000,0,96000,1000
SBS,20210504,7.6000,7.6000,6.8000,7.5000,1473842,7.6000,7.6000,6.8000,7.5000,0,80600,137000
SBS,20210429,7.8000,8.0000,6.7000,7.7000,843361,7.8000,8.0000,6.7000,7.7000,10000,0,76800
SBS,20210428,7.5000,8.0000,7.5000,7.8000,729900,7.5000,8.0000,7.5000,7.8000,0,25200,27100
SBS,20210427,7.4000,7.8000,7.4000,7.5000,1140510,7.4000,7.8000,7.4000,7.5000,0,25200,27100
SBS,20210426,8.2000,8.4000,7.6000,7.9000,956900,8.2000,8.4000,7.6000,7.9000,0,200,0
SBS,20210423,7.7000,8.2000,7.6000,8.2000,1761475,7.7000,8.2000,7.6000,8.2000,0,10300,0
SBS,20210422,8.3000,8.4000,7.6000,7.7000,2429614,8.3000,8.4000,7.6000,7.7000,0,0,0
SBS,20210420,8.7000,8.9000,8.2000,8.4000,1566852,8.7000,8.9000,8.2000,8.4000,0,14400,0
SBS,20210419,8.6000,8.7000,8.2000,8.7000,1831120,8.6000,8.7000,8.2000,8.7000,0,0,0
SBS,20210416,9.0000,9.0000,8.0000,8.6000,2648842,9.0000,9.0000,8.0000,8.6000,0,0,5000
SBS,20210415,9.2000,9.3000,8.9000,9.0000,2056053,9.2000,9.3000,8.9000,9.0000,0,0,0
SBS,20210414,9.0000,9.3000,8.7000,9.2000,2211940,9.0000,9.3000,8.7000,9.2000,0,0,0
SBS,20210413,9.4000,9.7000,8.8000,9.0000,3269825,9.4000,9.7000,8.8000,9.0000,0,10000,500
SBS,20210412,8.6000,9.5000,8.5000,9.4000,4276767,8.6000,9.5000,8.5000,9.4000,0,0,0
SBS,20210409,8.7000,8.7000,8.5000,8.6000,1584700,8.7000,8.7000,8.5000,8.6000,0,0,0
SBS,20210408,8.7000,8.8000,8.4000,8.7000,2022256,8.7000,8.8000,8.4000,8.7000,0,13300,0
SBS,20210407,8.4000,9.0000,8.3000,8.7000,2617098,8.4000,9.0000,8.3000,8.7000,0,300,0
SBS,20210406,8.6000,8.7000,8.2000,8.5000,2620296,8.6000,8.7000,8.2000,8.5000,0,0,0
SBS,20210405,8.5000,8.8000,8.5000,8.6000,3295898,8.5000,8.8000,8.5000,8.6000,0,176700,2000
SBS,20210402,8.5000,8.9000,8.3000,8.5000,3515101,8.5000,8.9000,8.3000,8.5000,0,100,0
SBS,20210401,8.2000,8.7000,7.8000,8.3000,4354087,8.2000,8.7000,7.8000,8.3000,0,0,141500
SBS,20210331,7.4000,8.3000,7.3000,8.1000,6764651,7.4000,8.3000,7.3000,8.1000,0,2000,6000
SBS,20210330,7.2000,7.5000,7.2000,7.5000,1550661,7.2000,7.5000,7.2000,7.5000,0,0,0
SBS,20210329,6.8000,7.4000,6.8000,7.3000,1189118,6.8000,7.4000,6.8000,7.3000,0,0,0
SBS,20210326,6.9000,7.2000,6.3000,7.1000,2427400,6.9000,7.2000,6.3000,7.1000,0,0,0
SBS,20210325,7.2000,7.3000,6.9000,6.9000,1682849,7.2000,7.3000,6.9000,6.9000,0,700,0
