<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SSB,20210625,39.8000,40.1000,39.0000,40.1000,2106000,39.8000,40.1000,39.0000,40.1000,0,0,0
SSB,20210624,39.7000,39.8500,39.0000,39.7500,2276400,39.7000,39.8500,39.0000,39.7500,0,0,0
SSB,20210623,39.9500,39.9500,39.0500,39.7000,2069900,39.9500,39.9500,39.0500,39.7000,0,0,0
SSB,20210622,40.0000,40.1000,38.9000,40.0500,2389900,40.0000,40.1000,38.9000,40.0500,0,0,0
SSB,20210621,40.0000,40.3500,39.0000,40.0000,2216300,40.0000,40.3500,39.0000,40.0000,0,0,0
SSB,20210618,38.0000,40.4500,37.0000,40.3500,2734900,38.0000,40.4500,37.0000,40.3500,0,0,0
SSB,20210617,39.6000,39.8000,37.4000,39.7000,1823600,39.6000,39.8000,37.4000,39.7000,0,0,0
SSB,20210616,41.3000,41.3000,38.6000,39.8000,1489700,41.3000,41.3000,38.6000,39.8000,0,0,0
SSB,20210615,42.9000,42.9500,40.1000,41.3000,2466800,42.9000,42.9500,40.1000,41.3000,0,0,0
SSB,20210614,42.9000,43.0000,41.0000,43.0000,2782100,42.9000,43.0000,41.0000,43.0000,0,0,0
SSB,20210611,41.3000,42.9000,39.5000,42.9000,2589300,41.3000,42.9000,39.5000,42.9000,0,0,0
SSB,20210610,40.7000,42.6000,37.5000,41.3000,3337900,40.7000,42.6000,37.5000,41.3000,0,0,0
SSB,20210609,40.5000,43.2000,40.1500,40.2000,2641700,40.5000,43.2000,40.1500,40.2000,0,0,0
SSB,20210608,41.5000,43.0000,40.6000,43.0000,2450000,41.5000,43.0000,40.6000,43.0000,0,0,0
SSB,20210607,45.5000,45.5000,42.4000,43.5000,1594600,45.5000,45.5000,42.4000,43.5000,0,0,0
SSB,20210604,43.4000,45.5000,40.1000,45.5000,4445100,43.4000,45.5000,40.1000,45.5000,0,0,0
SSB,20210603,41.6000,43.0000,39.0500,43.0000,2794400,41.6000,43.0000,39.0500,43.0000,0,0,0
SSB,20210602,40.7000,41.5000,38.9000,41.5000,1816900,40.7000,41.5000,38.9000,41.5000,0,0,0
SSB,20210601,40.8500,41.9000,39.0000,40.9000,1733600,40.8500,41.9000,39.0000,40.9000,0,0,0
SSB,20210531,39.0000,40.8000,38.0000,40.8000,1832500,39.0000,40.8000,38.0000,40.8000,0,0,0
SSB,20210528,37.0000,39.0000,35.5000,39.0000,2006200,37.0000,39.0000,35.5000,39.0000,0,0,0
SSB,20210527,37.3000,37.3500,35.0500,37.0500,2077400,37.3000,37.3500,35.0500,37.0500,0,0,0
SSB,20210526,34.9000,37.2000,33.5000,37.2000,2720400,34.9000,37.2000,33.5000,37.2000,0,0,0
SSB,20210525,32.9500,34.8500,30.5000,34.8500,3725900,32.9500,34.8500,30.5000,34.8500,0,0,0
SSB,20210524,32.0000,32.6000,30.5000,32.6000,2716700,32.0000,32.6000,30.5000,32.6000,0,0,0
SSB,20210521,31.7500,32.0000,30.3500,32.0000,4272700,31.7500,32.0000,30.3500,32.0000,0,0,0
SSB,20210520,31.9500,31.9500,29.6000,31.7500,4030600,31.9500,31.9500,29.6000,31.7500,0,0,0
SSB,20210519,31.5000,31.9500,29.5000,31.7500,3510600,31.5000,31.9500,29.5000,31.7500,0,0,0
SSB,20210518,32.1000,32.1000,31.4000,31.5000,3096400,32.1000,32.1000,31.4000,31.5000,0,0,0
SSB,20210517,30.3000,32.0000,30.3000,31.4500,3145000,30.3000,32.0000,30.3000,31.4500,0,0,0
SSB,20210514,28.5000,30.2500,27.5000,30.2500,3100400,28.5000,30.2500,27.5000,30.2500,0,0,0
SSB,20210513,28.0000,28.5000,27.1000,28.3000,2069300,28.0000,28.5000,27.1000,28.3000,0,0,0
SSB,20210512,28.0000,28.0000,27.7000,28.0000,1429600,28.0000,28.0000,27.7000,28.0000,0,0,0
SSB,20210511,28.3000,28.3000,27.7000,28.0000,942400,28.3000,28.3000,27.7000,28.0000,0,0,0
SSB,20210510,27.5000,28.0000,27.0000,28.0000,1638300,27.5000,28.0000,27.0000,28.0000,0,0,0
SSB,20210507,27.5000,27.7000,27.0000,27.5000,1122000,27.5000,27.7000,27.0000,27.5000,0,0,0
SSB,20210506,26.4500,28.3000,26.3000,27.3500,1078900,26.4500,28.3000,26.3000,27.3500,0,0,0
SSB,20210505,26.4000,26.5000,26.1000,26.4500,647500,26.4000,26.5000,26.1000,26.4500,0,0,0
SSB,20210504,26.0500,26.5000,26.0500,26.4000,1055500,26.0500,26.5000,26.0500,26.4000,70728,0,0
SSB,20210429,26.1000,26.9500,26.1000,26.8500,1199900,26.1000,26.9500,26.1000,26.8500,0,0,0
SSB,20210428,26.8000,26.9500,26.0000,26.8000,846500,26.8000,26.9500,26.0000,26.8000,0,0,0
SSB,20210427,25.1000,26.9000,25.1000,26.9000,705300,25.1000,26.9000,25.1000,26.9000,0,0,0
SSB,20210426,27.0000,27.2000,26.3500,26.8000,578000,27.0000,27.2000,26.3500,26.8000,0,0,0
SSB,20210423,27.5000,27.5000,26.1000,26.1000,853900,27.5000,27.5000,26.1000,26.1000,0,0,0
SSB,20210422,27.3000,27.5000,26.8000,27.5000,729000,27.3000,27.5000,26.8000,27.5000,0,0,0
SSB,20210420,27.6000,27.6000,27.4000,27.5000,1465400,27.6000,27.6000,27.4000,27.5000,0,0,0
SSB,20210419,27.3500,27.5000,27.1000,27.5000,886900,27.3500,27.5000,27.1000,27.5000,0,0,0
SSB,20210416,27.0000,27.3000,26.5000,27.3000,574400,27.0000,27.3000,26.5000,27.3000,0,0,0
SSB,20210415,26.4000,27.0000,25.5000,27.0000,1409400,26.4000,27.0000,25.5000,27.0000,0,0,0
SSB,20210414,27.0000,27.2500,26.8000,26.8000,579800,27.0000,27.2500,26.8000,26.8000,0,0,0
SSB,20210413,27.1000,27.5000,27.1000,27.3000,433600,27.1000,27.5000,27.1000,27.3000,0,0,0
SSB,20210412,27.3000,27.7000,27.0000,27.7000,846900,27.3000,27.7000,27.0000,27.7000,0,0,0
SSB,20210409,27.0000,27.7000,27.0000,27.7000,955900,27.0000,27.7000,27.0000,27.7000,0,0,0
SSB,20210408,27.8000,27.8000,27.5000,27.6000,911300,27.8000,27.8000,27.5000,27.6000,0,0,0
SSB,20210407,28.0000,28.0000,27.5000,28.0000,1208100,28.0000,28.0000,27.5000,28.0000,0,0,0
SSB,20210406,28.0000,28.0000,27.3000,28.0000,1881700,28.0000,28.0000,27.3000,28.0000,0,0,0
SSB,20210405,28.0500,28.1500,27.4000,28.1000,1564100,28.0500,28.1500,27.4000,28.1000,0,0,0
SSB,20210402,27.7000,28.2500,27.7000,28.2500,2990700,27.7000,28.2500,27.7000,28.2500,0,0,0
SSB,20210401,28.1000,28.2000,27.1000,28.2000,3793500,28.1000,28.2000,27.1000,28.2000,0,0,0
SSB,20210331,28.1500,28.1500,27.2000,28.1500,4138700,28.1500,28.1500,27.2000,28.1500,0,0,0
SSB,20210330,26.3500,26.3500,26.2500,26.3500,1896300,26.3500,26.3500,26.2500,26.3500,220000,0,0
SSB,20210329,24.6500,24.6500,24.0000,24.6500,3992200,24.6500,24.6500,24.0000,24.6500,250000,0,0
SSB,20210326,23.0500,23.0500,23.0500,23.0500,1078500,23.0500,23.0500,23.0500,23.0500,0,0,0
SSB,20210325,21.5500,21.5500,21.5500,21.5500,1464100,21.5500,21.5500,21.5500,21.5500,135335,0,0
SSB,20210324,20.1500,20.1500,20.1500,20.1500,6007500,20.1500,20.1500,20.1500,20.1500,0,0,0
